,type,title,director,cast,country,release year,platform,drama,comedy,documentary,horror,thrillers,romance,children & family,entertainment,music & musicals,action & adventure,sci-fi & fantasy,animation
9037,Movie,Adam and Evelyn,"Andreas Goldstein, Jakobine Motz","Anne Kanis, Florian Teichtmeister, Lena Lauzemis",not found,2018,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9043,Movie,What Is My Name,Nigina Sayfullaeva,"Konstantin Lavronenko, Alexandra Bortich, Marina Vasilieva, Kirill Kaganovich",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9049,Movie,Unsurety,Devon Bray,"Kandace Burnett, Deonde Crawford, Janeshia Wilson, Kejuan Moses, Thomas Hanks",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9051,Movie,Tuck Jagadish (Tamil),Shiva Nirvana,"Nani, Ritu Varma, Aishwarya Rajesh, Jagapathi Babu, Daniel Balaji, Nasser, Parvathi T, Rohini, Rao Ramesh, Naresh",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9056,TV Show,The Village,not found,"Rupert Evans, Emily Beecham, Maxine Peake, Juliet Stevenson",not found,2014,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9059,Movie,The Sneak Over,Brandon Bergin,"Reed Taylor, Will Hyde, Max Purget, Michael Hodges, Katie Burgess, Connie Franklin, Cassie Self, Brian Shoop",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9060,Movie,The Rookies,Alan Yuen,"Talu Wang, Milla Jovovich, Sandrine Pinna, David Lee McInnis",not found,2019,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9062,Movie,The Pudgie Movie,Ameir White,"Designer, Ameir White",not found,2020,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9063,Movie,The Outer Darkness,"Anthony Melton, Ben Franklin","David Blood, Anita Booth, Isla Carter, Anthony Edridge",not found,2019,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9065,Movie,The Midnight After,Fruit Chan,"Simon Yam, Tien You Chui",not found,2014,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9071,Movie,The Great Hypnotist,Leste Chan,"Jing Hu, Zhong Lu, Karen Mok",not found,2014,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9073,Movie,The Forest Killer,Wolfgang Murnberger,"Miriam Stein, Hary Prinz, Thomas Stipsits, August Schmölzer",not found,2014,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9074,TV Show,The Dream Motel,not found,"Jeff Armstrong, Kelly Bartram, Shane A. Doyle, Jeff Rose, Allen Hogan, Carey Jones",not found,2019,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9079,Movie,The Boat,Winston Azzopardi,Joe Azzopardi,not found,2019,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9082,Movie,The Bad News Bears (1976),Michael Ritchie,"Walter Matthau, Tatum O'Neal, Vic Morrow, Joyce Van Patten",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9084,Movie,That Day We Sang,Victoria Wood,"Michael Ball, Imelda Staunton",not found,2014,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9086,Movie,Ten Minutes to Midnight,Erik Bloomquist,"Caroline Williams, Nicole Kang, Nicholas Tucci, William Youmans, Adam Weppler, Alice Kremelberg, Greg Balla",not found,2021,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9087,Movie,Taller Than The Trees,Dean Tucker,"S. Joshua Costantini, Quinn Costantini, Cricket Costantini, Loren Costantini, Dean Tucker, Monica Costantini, Calder Costantini, Mona Costantini, Jason Costantini",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9089,Movie,Swimming for Gold,Hayley MacFarlane,"Peyton List, Daniel Needs",not found,2020,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9090,Movie,Summer Rebels,Martina Saková,"Eliáš Vyskocil, Pavel Nový, Liana Pavlíková",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9095,TV Show,Steve and Maggie - Magical Maggie Madness,not found,"Steve, Maggie",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,1
9102,Movie,Shots Fired,not found,"Black Jack Johnson, Will Cummings III, Carmelo Giangrande, Jay Davis",not found,2015,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9103,Movie,She Never Died,Audrey Cummings,"Olunike Adeliyi, Peter MacNeill, Kiana Madeira, Noah Dalton Danby",not found,2020,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9109,Movie,Saving Mr. Wu,Sheng Ding,"Andy Lau, Ye Liu",not found,2015,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9114,Movie,Rival,Marcus Lenz,"Yelizar Nazarenko, Maria Bruni, Udo Samel",not found,2020,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9117,Movie,Ratter,Branden Kramer,"Ashley Benson, Matt McGorry, Kaili Vernoff",not found,2016,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9120,Movie,Prisoners of the Sun,Roger Christian,"John Rhys-Davies, David Charvet, Carmen Chaplin",not found,2014,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9123,Movie,Play or Die,Jacques Kluger,"Charley Palmer, Roxane Mesquida, Marie Zabukovec, Thomas Mustin, Igor Van Dessel",not found,2019,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9124,Movie,Play,Philip Koch,"Emma Bading, Oliver Masucci, Victoria Mayer, Jonas Hämmerle, Ulrike C. Tscharre, Anna Jung",not found,2019,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9126,Movie,Pinky Moge Wali 2,Kapil Batra,"Gurneet Dosanjh, Neha Malik, Jimmy Sharma",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9127,TV Show,Phungus & Mowld,not found,Kilian Muster,not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9128,TV Show,Paranormal Solutions Inc.,not found,"David Milchard, Julia Benson",not found,2016,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0
9130,Movie,Ouija Japan,Masaya Kato,"Ariel Sekiya, Miharu Chiba, Eigi Kodaka",not found,2021,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9131,Movie,One More Flip,Jeffrey Brown,"StreetLord Rook, Mena Monroe, Sada Baby, Tonya Hawkins, Elizbeth Foxx, Tristin Fazekas, Christopher Collins, Kaamel Hasaun, Dariss Bass, Kristin Clarke",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9137,Movie,Now Is the Time,Christopher Auchter,not found,not found,2019,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9142,TV Show,Mysteries of the Superstition Mountains,not found,"Larry Hedrick, Hank Sheffer",not found,2021,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9143,Movie,My Story,"Libor Adam, Hana Hendrychová","Vlastina Svátková, Pavel Kříž, Vilma Cibulková, Milan Kňažko, Stanislava Jachnická, Nela Boudová, Tereza Kostková, Zdenek Maryška, Zuzana Norisová, Jaromír Nosek, Saša Rašilov, Alžběta Staňková, Martin Stranský, Roman Vojtěk",not found,2020,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9144,Movie,My Name is Pauli Murray,"Julie Cohen, Betsy West","Pauli Murray, Ruth Bader Ginsburg, Patricia Bell-Scott, Dolores Chandler, Brittney Cooper",not found,2021,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9145,Movie,My Kingdom Come,Horacio Alcalá,"Simón González, Paqui Domínguez, Alberto Loureiro",not found,2019,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9146,Movie,My Grandpa Is An Alien,"Marina Andree Škop, Dražen Žarković","Nils Ole Oftebro, Lana Hranjec, Bill Timoney",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9149,Movie,Mick Jagger: The Ultimate Performer,Robin Bextor,"Mick Jagger, Bob Geldof, Mick Taylor",not found,2021,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9150,Movie,Max Bishop,Jack Beranek,"Chris Charais, Iris Seifert, Katie Troske, Joel Thingvall, Don Peterson, Timothy Meinke, Rachel Grubb",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9152,Movie,Makoki: A Deadly Love,Esteban Diaz Baena,"Jeronimo Granadal, Vicky Castillo",not found,2019,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9159,Movie,Lost in Hong Kong,Zheng Xu,"Zheng Hu, Wei Zhao, Juan Du",not found,2015,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9161,TV Show,Life In Between Gates,not found,"Jon Franklin, William Kidd",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9162,TV Show,LEGO Monkie Kid - US,not found,"Jack De Sena, Dave B. Mitchell, Stephanie Sheh, David Chen, Sean Schemmel, Patrick Seitz",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9168,Movie,La Condesa,Mario Ramos,"Hannia Guillen, Gonzalo Trigueros, Diana Pou, Sebastian Stimman, Luz Nicolás, Soraya Padrao, Peter Pereyra, Yaritza Owen",not found,2021,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9170,TV Show,Judge Faith,not found,Faith Jenkins,not found,2016,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9173,Movie,Jay Stevens: Life Is Hilarious,Isaac Halasima,Jay Stevens,not found,2019,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9174,Movie,Jaguar (Kannada),Mahadev,"Nikhil Kumar, Deepti Sati",not found,2016,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9175,Movie,Jack Ryan: Shadow Recruit,Kenneth Branagh,"Chris Pine, Kevin Costner, Kenneth Branagh, Keira Knightly",not found,2014,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9176,Movie,It's a Wonderful Afterlife,Gurinder Chadha,"Sanjeev Bhaskar, Steve Morphew, Kate Magowan",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9178,TV Show,Intentions,not found,"Brittney LaCree, Anna Elizabeth, Deavon Taylor, Mariana Novaes, Lawrence Locke, Major Mace",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9180,Movie,Hotel Limbo,Tina Adams,"Lucie Vondrackova, Michael Barbuto, Martina Adamcova, James McDougall, Sophie Gendron, Chris Kapeleris, Liliana Komorowska, Luc-Martial Dagenais, Lisa Ryder, Hugues Saint Louis, Ian Fisher, Michelle C. Smith, Jacqueline Van de Geer, Lenka Šourková, Dino Tavarone, Dakota Jamal Wellman, Fred Nguyen Khan, Avi Bendahan, Me Maria Battaglia, Nadia Catino, Deano Clavet, Roberto Clavet, Benjamin Hatcher, Arthur Holden, Catherine Hughes, Sofia Metz, Mashal Nazari, Dondre Octave, Matyáš Plekanec, Tomáš Zonyga, Vanessa Perez, Alexander Peganov, Iulia Nastase, Dany Gange",not found,2020,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9182,TV Show,Heartland,not found,"Amber Marshall, Graham Wardle, Shaun Johnston",not found,2019,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9188,Movie,Good Old Friends,"Peter Kondra, Mikael Schallock","Peter Kondra, Andrej Vickers, Mikael Schallock",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9193,TV Show,Frustrated Man,not found,"Shanjay Sree Raj, Nurandaya Burremolla",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0
9200,Movie,Fellini Forward,"DREA COOPER, ZACKARY CANEPARI","FRANCESCA FABBRI FELLINI, DANTE FERRETTI, MARCUS DU SAUTOY, EMILY L. SPRATT, HAVA ALDOUBY, BLASCO GIURATO, ANITA TODESCO, ANDREA MUNAFO, GIULIA BONOMELLI, SIMONE COPPO, NEVA LEONI, HAL YAMANUOCHI, CETTY ARANCIO, EVELINA MEGHNAGI, LUCA MASSARO, VALERIO MALORNI, PIETRO ROMANO, ZAGOR BORGHESI, MARCO CARBONI, GIANCARLO GRECO, GEBREMESKEK D YEMANE, ILARIA CECERE, FRANCESCO RIVISTA, VINCENZO IANTORNO, MARIANO APREA, NAV GHOTRA, LUCA CONTINO, BRAYAN GONZALEZ, SARA RENDANO, ALEJANDRA BURNE SOLEDAD",not found,2021,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9203,TV Show,Explore With the Note 2021,not found,"Bai Shu, Zhao Dong Ze, Zhang Bo Yu",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9205,Movie,EVA,DANIEL IMASUEN,PEGGY OVIRE,not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9208,Movie,El Topo,Alfredo Ureta,"Néstor Jiménez, Ketty de la Iglesia, Albertico Pujols Acosta, Héctor Hechemendía",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9217,Movie,Dennis Gaxiola: Before the Wall Goes Up,Isaac Halasima,Dennis Gaxiola,not found,2017,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9220,Movie,Creepy Clowns,Pete Jacelone,"Heather Drew, Edward X. Young, Daylan Ludemann",not found,2021,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9221,Movie,Corey Rodrigues: People Whisperer,Isaac Halasima,Corey Rodrigues,not found,2018,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9224,Movie,Clip: Validation Check CAPI,CAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI ValidCAPI,not found,not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9225,Movie,Chehre,Rummy Jafry,"Amitabh Bachchan, Emraan Hashmi, Krystle Dsouza, Riya Chakraborty, Annu Kapoor, Dhritiman Chattergee, Raghubir Yadav, Siddhanth Kapoor",not found,2021,Amazon Prime,0,0,0,0,1,0,0,0,0,0,0,0
9227,TV Show,Chaos And Kindness,not found,"Justin Spencer, Ryan Vezina, Tony Zane",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9233,Movie,Butterflies,Biodun Stephen,"Bolaji Ogunmola, Pere Egbi, Kachi Nnochiri, Joshua Richard",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9236,Movie,Burning Man: The Musical,Tyler Milliron,"Morgan Siobhan Green, Tally Session, Max Crumm, Michelle Duffy, Troy Iwata, Allison Griffith, Mila Jam, Ysabel Jasa, Michael F. McBride, Ari Grooves",not found,2021,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9237,Movie,Burn Country,Ian Olds,"Dominic Rains, Melissa Leo, James Franco, Rachel Brosnahan, Thomas Jay Ryan, Tim Kniffin",not found,2016,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9240,TV Show,Bucket,not found,"Frog Stone, Miriam Margolyes",not found,2017,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9241,Movie,BT: My Life as I Know It Now!,Isaac Halasima,BT,not found,2018,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9246,Movie,Blippi's Spooky Spells Halloween,not found,Clayton Grimm,not found,2021,Amazon Prime,0,0,0,0,0,0,1,0,0,0,0,0
9248,Movie,"Black Coal, Thin Ice",Yi'nan Diao,"Fan Liao, Gwen Lun",not found,2014,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9249,Movie,Black As Night,Maritte Lee Go,"Asjha Cooper, Fabrizio Guido, Craig Tate, Keith David, Mason Beauchamp, Abbie Gayle",not found,2021,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9250,Movie,Bingo Hell,Gigi Saul Guerrero,"Adriana Barraza, L. Scott Caldwell, Joshua Caleb Johnson, Richard Brake",not found,2021,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9258,Movie,Assassination,Dong-hoon Choi,"Jun Ji-hyun, Jung-jae Lee, Ha Jung-woo",not found,2015,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9259,Movie,Andy Woodhull: World's Greatest Stepdad,Isaac Halasima,Andy Woodhull,not found,2018,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9270,Movie,83 degrees - ski the north,Matthias Mayr,"Matthias Mayr, Matthias Haunholder",not found,2019,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9271,Movie,66 Sadashiv,Yogesh Deshpande,"Mohan Joshi, Vandana Gupte, Yogesh Deshpande, Apoorva Modak, Jayant Sawarkar, Vishakha Subhedar, Pravin Tarde",not found,2019,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9276,Movie,Youth in Oregon,Joel David Moore,"Frank Langella, Billy Crudup, Christina Applegate, Mary Kay Place, Josh Lucas",not found,2017,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9277,Movie,Welcome To The Jungle,Rob Meltzer,"Adam Brody, Rob Huebel, Jean-Claude Van Damme, Kristen Schaal, Megan Boone, Dennis Haysbert, Eric Edelstein, Aaron Takahashi, Kristopher Van Varenberg, Bianca Bree",not found,2014,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9279,Movie,Tuck Jagadish (Malayalam),Shiva Nirvana,"Nani, Ritu Varma, Aishwarya Rajesh, Jagapathi Babu, Daniel Balaji, Nasser, Parvathi T, Rohini, Rao Ramesh, Naresh",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9280,TV Show,Travel Man: 48 Hours in...,not found,"Richard Ayoade, Jessica Knappett",not found,2018,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9282,Movie,The Selling,Emily Lou,"Gabriel Diani, Janet Varney, Barry Bostwick, Etta Devine",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9284,Movie,The Prophecy 2,Kenneth Okinkwo Okwy,Iyke Ogbonna George Clinting Ngozi Achms,not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9285,Movie,The Prophecy,Kenneth Okinkwo Okwy,Iyke Ogbonna George Clinting Ngozi Achms,not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9286,Movie,The Morning After,Stuart Acher,"Joel David Moore, Madeline Zima, Abraham Benrubi, Stephanie Faracy",not found,2018,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9291,Movie,The Ice Forest,Claudio Noce,"Emir Kusturica, Kseniya Rappoport, Domenico Diele, Adriano Giannini",not found,2014,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9293,Movie,The Breaking Point,James Hunter,"Diana Lovell, Erik Grey, Sean Nelson, Reggie Peters, Roy Williams Jr.",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9296,Movie,Swallows and Amazons,Philippa Lowthorpe,"Bobby McCulloch, Dane Hughes, Kelly Macdonald, Teddie Malleson-Allen, Orla Hill, Andrew Scott, Dan Skinner, Rafe Spall, Harry Enfield, Jessica Hynes, Fenella Woolgar, Seren Hawkes, Hannah-Jayne Thorp",not found,2017,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9298,Movie,Six Three Times,Sophia Rivera,"Jeanne Young, Denis Vikhliantsev",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9300,Movie,Side Chicks,Emmanuel Mageme,Tana Adelana Martha Ankomah Seun Akindele,not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9301,Movie,Shutter,V. K. Prakash,"Sachin Khedekar, Sonalee Kulkarni, Amey Wagh, Prakash Bare, Jaywant Wadkar",not found,2017,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9303,Movie,Sashinka,Kristina Wagenbauer,"Carla Turcotte, Natalia Dontcheva, David Giguère",not found,2018,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9305,Movie,Roommate (Hindi),Vasanth Nagarajan,"Naren, Kadhambari Sowmya",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9310,Movie,Paradise by the Dashboard Light,"Alyssa Rallo Bennett, Tyler Walker","Sarah T. Cohen, Danny Zuhlke, Madison Fitts, Sea Shimooka, Dallas Mahan, Alfredo Trueba, Nicolette Acosta, Sawyer Greenberg, Sydney Gross, Alexandra Gunst, Cassidy Rose Gyetvan, Andy Jean Louis, Alison Lopresti, Sydney Love, Fiona Malone, Francesca Reale, Melissa Ruiz, Lexie Shoaibi, Portland Thomas, Peyton Young",not found,2016,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9313,Movie,Nambiar (Hindi),Ganeshaa,"Srikanth, Santhanam, Sunaina",not found,2016,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9314,Movie,Naam,Joshy Thomas Pallickal,"Tovino Thomas, Vineeth Sreenivasan, Gautham Menon, Rahul Madhav, Shabareesh Varma, Renji Panicker, Saiju Kurup, Gayathri Suresh, Thampy Antony, Aditi Ravi, Mareena Michael Kurisingal",not found,2018,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9315,Movie,Mugguru Monagallu,Abhilash Reddy,"Srinivas Reddy, Dheekshith Shetty, Vennela Rama Rao, Twisha Sharma, Raja Ravindra, TNR, Swetaa Varma, Nassar, Bhadram, Surya",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9316,Movie,Like Dogs,Randy Van Dyke,"Annabel Barrett, Ignacyo Matynia, Ryan Tran, Shay Denison, Katy Dore",not found,2021,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9317,Movie,Let There Be Light,"Mila Aung-Thwin, Van Royko","Mark Henderson, Jeffrey Harris, Michel Laberge",not found,2017,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9318,TV Show,Landscape Artist of the Year,not found,"Joan Bakewell, Frank Skinner, Kate Bryan, Tai Shan Schierenberg, Katleen Soriano",not found,2015,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9321,TV Show,If You Give a Mouse a Cookie,not found,"Mason Mahay, Roger Craig Smith, Jessica DiCiccio, Jeff Bennett, Lara Jill Miller, Henry Kaufman, Kyla Kenedy White, Scarlet Estevez, Benji Risley",United States,2021,Amazon Prime,0,0,0,0,0,0,1,0,0,0,0,0
9322,Movie,High Wire,Claude Guilmain,not found,not found,2020,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9325,Movie,Guns of Banaras,Sekhar Suri,"Karan Nath, Nathalia Kaur, Ganesh Venkatraman",not found,2020,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9331,Movie,Farm to Fork to Love,Sandra L. Martin,"Maurice Johnson, Meggan Kaiser, Scot Cooper",not found,2021,Amazon Prime,0,0,0,0,0,1,0,0,0,0,0,0
9334,Movie,Entanglement,Damon Jamal,"Cisco Reyes, Jasmine Burke, Omar Gooding, Dennis L.A. White, Tangi Miller, Angie Stone",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9335,Movie,Electrician,Steve Conway,Rory Farrelly,not found,2020,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0
9336,Movie,Dreaming of Braddock,"Cavi Borges, Ulisses Mattos","Pedro Monteiro, Augusto Madeira",not found,2019,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9337,Movie,Dive,Daniel F. Holmes,"Vanessa Schaefer, Shauna Kavanagh, Emmet Ryan, Aidan O'Sullivan, Shauna Dineen, Lukasz Kozanecki, Tara Flynn",not found,2021,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9340,Movie,Delusion,Vallo Toomla,"Mirtel Pohla, Priit Võigemast, Mari Abel, Meelis Rämmeld",not found,2016,Amazon Prime,0,0,0,1,0,0,0,0,0,0,0,0
9341,TV Show,DEFA,not found,"Önem Pişkin, Ahmet Ataman, Mihca Kılıç, Emre Gürkan Bıyık, Mert Uzunmehmet, Şevval Bektaş",not found,2021,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0
9342,Movie,Dancin: It's On,David Winters,"David Winters, Gary Daniels, Ava Fabian, Whitney Carson, Jordan Clark",not found,2015,Amazon Prime,0,0,0,0,0,0,0,1,0,0,0,0
9345,TV Show,Clip: El Anti-Friendzone,not found,"Erick Miranda, Mariam Mendoza, Orlando Pomar, Arlyn Cova, Kareem Franco",not found,2019,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0
9347,TV Show,Cavendish,not found,"Maddy Bryce, Ewan Petrie, Robert Carr",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9348,Movie,Camouflage,Reinhold Bilgeri,"Wolfgang Böck, Tobias Moretti, Petra Morzé, Harald Schrott",not found,2014,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9352,Movie,Attack of the Unknown,Brandon Slagle,"Richard Grieco, Jolene Andersen, Douglas Tait, Tara Reid, Johnny Huang, Robert Donavan",not found,2020,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9355,Movie,All That Matters,Alfred Robbins,"Christopher Martin, Pamela Ricardo, Monyetta Shaw, Jessica E. Brandon",not found,2021,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9357,Movie,Videola,Alyssa Rallo Bennett,"Sean Young, Gil Zabarsky, Janet Zarish, Micheal Pemberton, Samantha Rothermel, Taylor Pfenning, Adrienne Pluta, Jordan Myrick",not found,2016,Amazon Prime,1,0,0,0,0,0,0,0,0,0,0,0
9359,Movie,Top Five,Chris Rock,"Chris Rock, Rosario Dawson, Gabrielle Union, Cedric The Entertainer, J.B. Smoove, Tracy Morgan, Kevin Hart",United States,2014,Amazon Prime,0,1,0,0,0,0,0,0,0,0,0,0
9360,Movie,Timber the Treasure Dog,Ari Novak,"Kix Brooks, Wilford Brimley, J.D. Hoppe",not found,2016,Amazon Prime,0,0,0,0,0,0,0,0,0,1,0,0
9361,Movie,TikTok,Avani Dias,not found,not found,2021,Amazon Prime,0,0,1,0,0,0,0,0,0,0,0,0
9362,TV Show,This is Us,not found,not found,not found,2020,Amazon Prime,0,0,0,0,0,0,0,0,0,0,0,0
